datetime,agree_to_participate_in_survey,legal_age,age,gender,state,city,education_level,education_level_ibge,monthly_family_income,time_in_job_market,employment_situation,job_level,professional_activity,main_job_search_channel,most_likely_communication_channel_to_impact_respondent,offered_benefits_importance,detailed_job_description_importance,salary_importance,about_the_company_importance,job_announcement_visual_quality_importance,announcement_text_size_importance,company_culture_importance,ex_employees_testimonies_importance,work_life_balance_importance,diversity_and_inclusion_intiatives_importance,carreer_plan_importance,prizes_and_recognition_importances,online_presence_importance,company_reputation_importance,company_size_importance,Você já deixou de se candidatar a uma vaga devido à má reputação da empresa?,Você tem alguma sugestão e/ou comentário sobre como as empresas podem melhorar suas estratégias de divulgação de vagas de emprego?
7/1/2024 16:47:19,1,1,Entre 30-34 anos,fem,São Paulo,São Paulo,Pós-graduação completa,Superior completo,,Mais de 3 até 6 anos,Empregado,Especialista,Educação,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,4,,4,4,2,2,4,3,2,4,2,3,2,Não,"Seria importante o máximo de transparência, divulgando o horário e o regime de trabalho, além da faixa salarial aproximada."
7/3/2024 13:04:51,1,1,Entre 25-29 anos,masc,São Paulo,Osasco,Ensino Superior completo,Superior completo,"De R$ 3.001,00 a R$ 5.000,00",De 1 até 3 anos,Empregado(a),Analista Júnior,Tecnologia da Informação,LinkedIn,"Anúncios no Instagram, E-mail, Evento/feira de recrutamento/mutirões de emprego, Menu ""Vagas"" no LinkedIn",4,3,4,,2,2,3,4,4,3,4,4,1,4,3,1,"Eu costumo buscar mais detalhes sobre a vaga, entrar no site da empresa e procurar outras informações quando a empresa que a oferta tem muito conteúdo no LinkedIn referente aos seus projetos, resultados e produtos do ponto de vista das pessoas que alo trabalham. Por exemplo, empresas de tecnologia que divulgam seus projetos em código aberto me chamam muita atenção, já que tenho noção daquilo que possivelmente iriei influenciar caso ali trabalhe."
7/3/2024 15:27:00,1,1,Entre 25-29 anos,fem,São Paulo,Mauá,Pós-graduação completa,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Empregado(a),Especialista,Educação,Sites de vagas de emprego,E-mail,4,4,4,,4,3,3,4,3,4,4,4,3,4,2,1,"Acho que não tenho, mas, só com base no capricho desse questionário, estou certa de que você vai ter ideias brilhantes para isso <3 (Ah, ops, ia enviar e pensei em uma: divulga logo o salário pelo amor de Deus... pra que mistério, gente? Se o salário é 'a combinar', eu já acho que é o salário-mínimo e nem perco tempo me candidatando, rs.)"
7/16/2024 22:33:41,1,1,Entre 50-54 anos,fem,São Paulo,Osasco,Ensino Médio completo,Médio completo e superior incompleto,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Aposentado(a),Analista Júnior,Finanças e Contabilidade,Indicação de amigos/familiares,"E-mail, Mídia no ponto de ônibus ou metrô, Panfletos",4,4,4,,3,0,4,4,4,4,4,4,3,4,1,Não,
7/17/2024 9:35:39,1,1,Entre 25-29 anos,masc,São Paulo,São Paulo,Pós-gradução incompleta,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 6 até 10 anos,Empregado(a),Analista Sênior,Comércio Exterior,Sites de vagas de emprego,"Banner/cartaz/outdoor, Menu ""Vagas"" no LinkedIn",4,4,4,3,4,3,4,3,4,4,3,3,1,4,3,Não,
7/17/2024 10:05:14,1,1,Entre 40-44 anos,fem,São Paulo,Osasco,Ensino Superior incompleto,Médio completo e superior incompleto,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Empregado(a),Analista Pleno,Administração e Negócios,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,4,2,1,1,3,2,4,2,3,3,2,4,3,Não,
7/17/2024 10:15:57,1,1,Entre 40-44 anos,fem,São Paulo,São Paulo,Pós-graduação completa,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Especialista,Turismo e Hospitalidade,LinkedIn,Glassdoor,3,4,4,4,3,2,4,4,4,4,3,3,0,4,1,1,Entender que também é importante para o candidato entender se a empresa atende o perfil que ele busca e deixar o máximo de informações claras desde o primeiro contato otimiza o tempo da empresa e do candidato.
7/17/2024 10:17:36,1,1,Entre 35-39 anos,fem,São Paulo,São Paulo,Ensino Superior completo,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Mais de 10 anos,Empregado(a),Especialista,Finanças e Contabilidade,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,4,2,2,2,3,4,4,4,4,4,2,4,4,1,Divulgar o salário
7/17/2024 10:18:18,1,1,Entre 30-34 anos,fem,São Paulo,Santo André,Pós-graduação completa,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Empregado(a),Autônomo(a),Saúde,Sites de vagas de emprego,"Anúncio em grupos no WhatsApp, Anúncios no Instagram",3,3,4,4,3,4,3,4,4,3,4,2,2,4,2,1,"Acredito que seja necessário a clareza da empresa no que busca, que a posição anunciada seja compatível com a área de formação, bem como a remuneração condizente ao escopo da vaga."
7/17/2024 10:27:04,1,1,Entre 35-39 anos,fem,São Paulo,Osasco,Pós-graduação completa,Superior completo,"De R$ 10.001,00 a R$ 20.000,00",Mais de 10 anos,Empregado(a),Gerente,Marketing e Publicidade,LinkedIn,"Menu ""Vagas"" no LinkedIn",3,4,4,4,3,2,2,2,2,2,3,3,2,3,4,Não,
7/17/2024 10:27:36,1,1,Entre 55-59 anos,masc,São Paulo,Osasco,Ensino Médio completo,Médio completo e superior incompleto,"De R$ 3.001,00 a R$ 5.000,00",Mais de 10 anos,Aposentado(a),Coordenador(a) ou Supervisor(a),Logística,WhatsApp,E-mail,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,1,Ser o mais claro possível sobre a vaga oferecida.
7/17/2024 10:38:56,1,1,Entre 30-34 anos,masc,São Paulo,Osasco,Pós-graduação completa,Superior completo,"De R$ 5.001,00 a R$ 10.000,00",Menos de 1 ano,Empregado(a),Analista Júnior,Administração e Negócios,LinkedIn,"Menu ""Vagas"" no LinkedIn",4,4,4,4,4,2,4,3,3,4,4,4,4,4,3,1,Não
